Player,Pos,Salary,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER
Jordan Bell,C,#N/A,26.00 ,GSW,1.00 ,0.00 ,15.00 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,,0.00 ,2.00 ,0.00 ,0.00 ,1.00 ,2.00 ,0.50 ,1.00 ,4.00 ,5.00 ,2.00 ,0.00 ,2.00 ,1.00 ,2.00 ,1.00 ,5.00 
DeAndre' Bembry,SF,2541217.00 ,26.00 ,TOR,51.00 ,12.00 ,19.10 ,2.30 ,4.50 ,0.51 ,0.30 ,1.00 ,0.26 ,2.00 ,3.40 ,0.59 ,0.54 ,0.90 ,1.30 ,0.68 ,0.60 ,2.20 ,2.90 ,2.10 ,1.00 ,0.40 ,1.40 ,1.70 ,5.70 ,7.80 
Dāvis Bertāns,PF,16000000.00 ,28.00 ,WAS,57.00 ,7.00 ,25.70 ,3.40 ,8.40 ,0.40 ,3.00 ,7.50 ,0.40 ,0.40 ,0.90 ,0.48 ,0.58 ,1.80 ,2.00 ,0.87 ,0.30 ,2.60 ,2.90 ,0.90 ,0.60 ,0.20 ,0.60 ,2.40 ,11.50 ,8.50 
Patrick Beverley,PG,14320988.00 ,32.00 ,LAC,37.00 ,34.00 ,22.50 ,2.50 ,5.90 ,0.42 ,1.50 ,3.80 ,0.40 ,1.00 ,2.10 ,0.47 ,0.55 ,1.00 ,1.20 ,0.80 ,0.80 ,2.40 ,3.20 ,2.10 ,0.80 ,0.80 ,0.90 ,2.90 ,7.50 ,7.90 
Saddiq Bey,SF,2824320.00 ,21.00 ,DET,70.00 ,53.00 ,27.30 ,4.00 ,9.90 ,0.40 ,2.50 ,6.60 ,0.38 ,1.50 ,3.30 ,0.45 ,0.53 ,1.80 ,2.10 ,0.84 ,0.60 ,3.90 ,4.50 ,1.40 ,0.70 ,0.20 ,0.90 ,1.60 ,12.20 ,11.20 
Tyler Bey,SF,#N/A,22.00 ,DAL,18.00 ,0.00 ,3.90 ,0.40 ,1.20 ,0.32 ,0.10 ,0.20 ,0.25 ,0.30 ,1.00 ,0.33 ,0.34 ,0.20 ,0.30 ,0.60 ,0.40 ,0.60 ,1.10 ,0.20 ,0.00 ,0.10 ,0.20 ,0.30 ,1.00 ,1.20 
Khem Birch,C,6350000.00 ,28.00 ,TOT,67.00 ,22.00 ,22.80 ,2.80 ,5.70 ,0.50 ,0.20 ,0.80 ,0.25 ,2.60 ,4.90 ,0.54 ,0.51 ,1.40 ,1.90 ,0.71 ,2.60 ,3.20 ,5.80 ,1.30 ,0.70 ,0.70 ,0.70 ,1.70 ,7.20 ,10.60 
Khem Birch,C,6350000.00 ,28.00 ,ORL,48.00 ,5.00 ,19.80 ,2.00 ,4.40 ,0.45 ,0.10 ,0.40 ,0.19 ,1.90 ,3.90 ,0.48 ,0.46 ,1.30 ,1.80 ,0.74 ,2.40 ,2.60 ,5.10 ,1.10 ,0.70 ,0.60 ,0.50 ,1.40 ,5.30 ,8.50 
Khem Birch,C,6350000.00 ,28.00 ,TOR,19.00 ,17.00 ,30.40 ,5.00 ,9.00 ,0.56 ,0.50 ,1.60 ,0.29 ,4.50 ,7.40 ,0.61 ,0.58 ,1.50 ,2.30 ,0.64 ,3.00 ,4.60 ,7.60 ,1.90 ,0.80 ,1.20 ,1.10 ,2.40 ,11.90 ,16.20 
Goga Bitadze,C,3098400.00 ,21.00 ,IND,45.00 ,3.00 ,12.50 ,1.80 ,4.30 ,0.43 ,0.40 ,1.80 ,0.25 ,1.40 ,2.60 ,0.55 ,0.48 ,1.00 ,1.40 ,0.74 ,1.30 ,2.00 ,3.30 ,0.80 ,0.20 ,1.30 ,0.40 ,2.10 ,5.10 ,5.70 
Bismack Biyombo,C,1366392.00 ,28.00 ,CHO,66.00 ,36.00 ,20.40 ,2.20 ,3.70 ,0.59 ,0.00 ,0.00 ,0.00 ,2.20 ,3.70 ,0.59 ,0.59 ,0.70 ,1.60 ,0.45 ,2.10 ,3.20 ,5.30 ,1.20 ,0.30 ,1.10 ,1.10 ,2.10 ,5.00 ,8.40 
Nemanja Bjelica,PF,2089448.00 ,32.00 ,TOT,37.00 ,3.00 ,16.10 ,2.40 ,5.30 ,0.45 ,0.70 ,2.30 ,0.32 ,1.70 ,3.00 ,0.56 ,0.52 ,1.00 ,1.40 ,0.73 ,0.80 ,2.60 ,3.40 ,1.90 ,0.40 ,0.10 ,0.90 ,1.80 ,6.50 ,7.20 
Nemanja Bjelica,PF,2089448.00 ,32.00 ,SAC,26.00 ,1.00 ,16.90 ,2.70 ,5.80 ,0.46 ,0.70 ,2.20 ,0.29 ,2.00 ,3.50 ,0.57 ,0.52 ,1.20 ,1.60 ,0.76 ,0.90 ,2.90 ,3.80 ,1.90 ,0.30 ,0.10 ,1.10 ,1.80 ,7.20 ,8.00 
Nemanja Bjelica,PF,2089448.00 ,32.00 ,MIA,11.00 ,2.00 ,14.20 ,1.80 ,4.20 ,0.44 ,0.90 ,2.50 ,0.37 ,0.90 ,1.70 ,0.53 ,0.54 ,0.50 ,0.80 ,0.56 ,0.50 ,2.00 ,2.50 ,1.80 ,0.60 ,0.30 ,0.50 ,1.80 ,5.00 ,5.70 
Eric Bledsoe,SG,18125000.00 ,31.00 ,NOP,71.00 ,70.00 ,29.70 ,4.30 ,10.30 ,0.42 ,1.70 ,5.00 ,0.34 ,2.60 ,5.30 ,0.50 ,0.50 ,1.90 ,2.70 ,0.69 ,0.40 ,3.00 ,3.40 ,3.80 ,0.80 ,0.30 ,1.60 ,1.60 ,12.20 ,12.10 
Keljin Blevins,SF,#N/A,25.00 ,POR,17.00 ,0.00 ,4.40 ,0.30 ,1.20 ,0.25 ,0.10 ,0.50 ,0.25 ,0.20 ,0.70 ,0.25 ,0.30 ,0.00 ,0.00 ,,0.20 ,0.40 ,0.60 ,0.20 ,0.10 ,0.00 ,0.30 ,0.50 ,0.70 ,0.20 
Bogdan Bogdanović,SG,18000000.00 ,28.00 ,ATL,44.00 ,27.00 ,29.70 ,6.10 ,12.80 ,0.47 ,3.30 ,7.60 ,0.44 ,2.80 ,5.30 ,0.52 ,0.60 ,0.90 ,1.00 ,0.91 ,0.50 ,3.20 ,3.60 ,3.30 ,1.10 ,0.30 ,1.20 ,2.30 ,16.40 ,15.60 
