Player,Pos,Salary,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER
Hamidou Diallo,SF,5200000.00 ,22.00 ,DET,20.00 ,4.00 ,23.30 ,4.10 ,8.70 ,0.47 ,0.80 ,2.10 ,0.39 ,3.30 ,6.60 ,0.49 ,0.51 ,2.30 ,3.40 ,0.66 ,1.10 ,4.30 ,5.40 ,1.20 ,0.50 ,0.60 ,1.40 ,2.60 ,11.20 ,10.60 
Gorgui Dieng,C,4000000.00 ,31.00 ,TOT,38.00 ,1.00 ,14.50 ,2.20 ,4.30 ,0.52 ,0.80 ,1.80 ,0.43 ,1.40 ,2.40 ,0.59 ,0.61 ,1.50 ,1.80 ,0.87 ,1.10 ,2.60 ,3.70 ,1.30 ,0.70 ,0.40 ,0.80 ,1.50 ,6.80 ,9.00 
Gorgui Dieng,C,4000000.00 ,31.00 ,MEM,22.00 ,1.00 ,16.90 ,2.50 ,4.90 ,0.52 ,1.00 ,2.20 ,0.48 ,1.50 ,2.70 ,0.55 ,0.63 ,1.70 ,2.00 ,0.88 ,1.30 ,3.20 ,4.50 ,1.30 ,0.80 ,0.60 ,1.00 ,1.70 ,7.90 ,10.70 
Gorgui Dieng,C,4000000.00 ,31.00 ,SAS,16.00 ,0.00 ,11.30 ,1.80 ,3.40 ,0.53 ,0.40 ,1.40 ,0.32 ,1.40 ,2.10 ,0.67 ,0.59 ,1.30 ,1.50 ,0.83 ,0.80 ,1.90 ,2.60 ,1.20 ,0.60 ,0.10 ,0.60 ,1.10 ,5.30 ,6.90 
Spencer Dinwiddie,SG,17142857.00 ,27.00 ,BRK,3.00 ,3.00 ,21.30 ,2.00 ,5.30 ,0.38 ,0.70 ,2.30 ,0.29 ,1.30 ,3.00 ,0.44 ,0.44 ,2.00 ,2.00 ,1.00 ,0.00 ,4.30 ,4.30 ,3.00 ,0.70 ,0.30 ,1.70 ,1.30 ,6.70 ,10.40 
Donte DiVincenzo,SG,4675830.00 ,24.00 ,MIL,66.00 ,66.00 ,27.50 ,3.80 ,9.10 ,0.42 ,2.00 ,5.20 ,0.38 ,1.80 ,3.90 ,0.48 ,0.53 ,0.80 ,1.10 ,0.72 ,1.20 ,4.50 ,5.80 ,3.10 ,1.10 ,0.20 ,1.40 ,1.70 ,10.40 ,13.30 
Luka Dončić,PG,10174391.00 ,21.00 ,DAL,66.00 ,66.00 ,34.30 ,9.80 ,20.50 ,0.48 ,2.90 ,8.30 ,0.35 ,6.90 ,12.20 ,0.57 ,0.55 ,5.20 ,7.10 ,0.73 ,0.80 ,7.20 ,8.00 ,8.60 ,1.00 ,0.50 ,4.30 ,2.30 ,27.70 ,30.90 
Luguentz Dort,SG,1782621.00 ,21.00 ,OKC,52.00 ,52.00 ,29.70 ,4.80 ,12.30 ,0.39 ,2.20 ,6.30 ,0.34 ,2.60 ,6.00 ,0.43 ,0.48 ,2.30 ,3.20 ,0.74 ,0.70 ,2.90 ,3.60 ,1.70 ,0.90 ,0.40 ,1.50 ,2.60 ,14.00 ,9.60 
Damyean Dotson,SG,#N/A,26.00 ,CLE,46.00 ,7.00 ,19.70 ,2.60 ,6.40 ,0.41 ,1.00 ,3.50 ,0.29 ,1.60 ,2.90 ,0.55 ,0.49 ,0.50 ,0.80 ,0.67 ,0.10 ,1.90 ,2.00 ,2.00 ,0.30 ,0.10 ,0.90 ,0.90 ,6.70 ,6.10 
Devon Dotson,PG,#N/A,21.00 ,CHI,11.00 ,0.00 ,4.50 ,1.00 ,1.90 ,0.52 ,0.10 ,0.60 ,0.14 ,0.90 ,1.30 ,0.71 ,0.55 ,0.00 ,0.00 ,,0.20 ,0.30 ,0.50 ,0.60 ,0.40 ,0.00 ,0.00 ,0.30 ,2.10 ,2.40 
Sekou Doumbouya,PF,#N/A,20.00 ,DET,56.00 ,11.00 ,15.50 ,1.90 ,5.00 ,0.38 ,0.50 ,2.10 ,0.23 ,1.40 ,3.00 ,0.49 ,0.43 ,0.80 ,1.10 ,0.70 ,0.70 ,1.90 ,2.60 ,0.80 ,0.40 ,0.20 ,0.80 ,1.70 ,5.10 ,4.00 
PJ Dozier,SG,1910860.00 ,24.00 ,DEN,50.00 ,6.00 ,21.80 ,3.00 ,7.10 ,0.42 ,0.90 ,3.00 ,0.32 ,2.00 ,4.10 ,0.49 ,0.48 ,0.80 ,1.30 ,0.64 ,0.70 ,2.90 ,3.60 ,1.80 ,0.60 ,0.40 ,0.90 ,1.70 ,7.70 ,7.80 
Goran Dragić,PG,20168742.00 ,34.00 ,MIA,50.00 ,11.00 ,26.70 ,4.80 ,11.10 ,0.43 ,1.80 ,4.90 ,0.37 ,3.00 ,6.20 ,0.48 ,0.51 ,2.00 ,2.40 ,0.83 ,0.50 ,2.90 ,3.40 ,4.40 ,0.70 ,0.20 ,2.40 ,2.30 ,13.40 ,13.10 
Andre Drummond,C,2401537.00 ,27.00 ,TOT,46.00 ,46.00 ,27.00 ,6.10 ,12.40 ,0.49 ,0.00 ,0.20 ,0.00 ,6.10 ,12.30 ,0.50 ,0.49 ,2.70 ,4.50 ,0.60 ,3.60 ,8.40 ,12.00 ,2.00 ,1.40 ,1.10 ,2.70 ,3.20 ,14.90 ,20.10 
Andre Drummond,C,2401537.00 ,27.00 ,CLE,25.00 ,25.00 ,28.90 ,7.20 ,15.20 ,0.47 ,0.00 ,0.30 ,0.00 ,7.20 ,14.90 ,0.48 ,0.47 ,3.10 ,5.20 ,0.60 ,4.00 ,9.40 ,13.50 ,2.60 ,1.60 ,1.20 ,3.20 ,2.80 ,17.50 ,23.50 
Andre Drummond,C,2401537.00 ,27.00 ,LAL,21.00 ,21.00 ,24.80 ,4.90 ,9.10 ,0.53 ,0.00 ,0.00 ,,4.90 ,9.10 ,0.53 ,0.53 ,2.20 ,3.60 ,0.61 ,3.10 ,7.10 ,10.20 ,1.40 ,1.10 ,1.00 ,2.00 ,3.80 ,11.90 ,16.20 
Jared Dudley,PF,#N/A,35.00 ,LAL,12.00 ,0.00 ,6.80 ,0.20 ,0.80 ,0.22 ,0.20 ,0.50 ,0.33 ,0.00 ,0.30 ,0.00 ,0.33 ,0.00 ,0.00 ,,0.30 ,1.40 ,1.80 ,0.40 ,0.10 ,0.10 ,0.20 ,0.60 ,0.50 ,1.70 
Kris Dunn,PG,#N/A,26.00 ,ATL,4.00 ,0.00 ,11.30 ,0.30 ,3.00 ,0.08 ,0.00 ,0.50 ,0.00 ,0.30 ,2.50 ,0.10 ,0.08 ,0.80 ,1.00 ,0.75 ,0.00 ,1.50 ,1.50 ,0.50 ,0.50 ,0.50 ,0.80 ,2.50 ,1.30 ,-1.10 
Kevin Durant,PF,40918900.00 ,32.00 ,BRK,35.00 ,32.00 ,33.10 ,9.30 ,17.20 ,0.54 ,2.40 ,5.40 ,0.45 ,6.80 ,11.80 ,0.58 ,0.61 ,6.00 ,6.80 ,0.88 ,0.40 ,6.70 ,7.10 ,5.60 ,0.70 ,1.30 ,3.40 ,2.00 ,26.90 ,30.90 
Anthony Edwards,SG,10245480.00 ,19.00 ,MIN,72.00 ,55.00 ,32.10 ,7.00 ,16.80 ,0.42 ,2.40 ,7.20 ,0.33 ,4.60 ,9.60 ,0.48 ,0.49 ,2.90 ,3.80 ,0.78 ,0.80 ,3.80 ,4.70 ,2.90 ,1.10 ,0.50 ,2.20 ,1.80 ,19.30 ,16.00 
Carsen Edwards,SG,76744.00 ,22.00 ,BOS,31.00 ,1.00 ,8.90 ,1.50 ,3.60 ,0.42 ,0.60 ,2.00 ,0.29 ,0.90 ,1.50 ,0.60 ,0.51 ,0.40 ,0.40 ,0.85 ,0.10 ,0.70 ,0.80 ,0.50 ,0.20 ,0.00 ,0.20 ,0.80 ,4.00 ,2.60 
CJ Elleby,SF,1517981.00 ,20.00 ,POR,30.00 ,0.00 ,6.40 ,0.80 ,2.20 ,0.38 ,0.20 ,1.10 ,0.21 ,0.60 ,1.10 ,0.56 ,0.43 ,0.40 ,0.50 ,0.73 ,0.40 ,0.70 ,1.10 ,0.30 ,0.20 ,0.10 ,0.20 ,0.90 ,2.30 ,1.60 
Henry Ellenson,PF,#N/A,24.00 ,TOR,2.00 ,0.00 ,19.00 ,2.50 ,7.00 ,0.36 ,1.00 ,4.50 ,0.22 ,1.50 ,2.50 ,0.60 ,0.43 ,1.50 ,2.00 ,0.75 ,1.50 ,4.50 ,6.00 ,2.50 ,0.00 ,0.00 ,0.00 ,3.50 ,7.50 ,7.50 
Wayne Ellington,SG,2641691.00 ,33.00 ,DET,46.00 ,31.00 ,22.00 ,3.20 ,7.30 ,0.44 ,2.50 ,6.00 ,0.42 ,0.70 ,1.40 ,0.52 ,0.61 ,0.60 ,0.80 ,0.80 ,0.30 ,1.60 ,1.80 ,1.50 ,0.40 ,0.20 ,0.70 ,1.30 ,9.60 ,7.90 
Joel Embiid,C,31579390.00 ,26.00 ,PHI,51.00 ,51.00 ,31.10 ,9.00 ,17.60 ,0.51 ,1.10 ,3.00 ,0.38 ,7.90 ,14.60 ,0.54 ,0.55 ,9.20 ,10.70 ,0.86 ,2.20 ,8.40 ,10.60 ,2.80 ,1.00 ,1.40 ,3.10 ,2.40 ,28.50 ,31.80 
James Ennis III,SF,#N/A,30.00 ,ORL,41.00 ,37.00 ,24.00 ,2.80 ,5.90 ,0.47 ,1.10 ,2.50 ,0.43 ,1.70 ,3.40 ,0.50 ,0.57 ,1.70 ,2.10 ,0.81 ,1.00 ,3.00 ,4.00 ,1.50 ,0.80 ,0.20 ,0.90 ,2.00 ,8.40 ,9.40 
Drew Eubanks,C,1762796.00 ,23.00 ,SAS,54.00 ,3.00 ,14.00 ,2.10 ,3.80 ,0.57 ,0.00 ,0.00 ,1.00 ,2.10 ,3.80 ,0.56 ,0.57 ,1.40 ,2.00 ,0.73 ,1.40 ,3.10 ,4.50 ,0.80 ,0.30 ,0.90 ,0.80 ,1.60 ,5.80 ,8.40 
Dante Exum,SG,#N/A,25.00 ,CLE,6.00 ,3.00 ,19.30 ,1.70 ,4.30 ,0.39 ,0.30 ,1.80 ,0.18 ,1.30 ,2.50 ,0.53 ,0.42 ,0.20 ,0.30 ,0.50 ,0.30 ,2.50 ,2.80 ,2.20 ,0.70 ,0.30 ,1.20 ,1.50 ,3.80 ,5.60 
Tacko Fall,C,#N/A,25.00 ,BOS,19.00 ,0.00 ,7.20 ,1.10 ,1.50 ,0.72 ,0.00 ,0.00 ,,1.10 ,1.50 ,0.72 ,0.72 ,0.30 ,0.80 ,0.33 ,0.80 ,1.90 ,2.70 ,0.20 ,0.10 ,1.10 ,0.30 ,1.20 ,2.50 ,4.50 
Derrick Favors,C,9720900.00 ,29.00 ,UTA,68.00 ,0.00 ,15.30 ,2.30 ,3.60 ,0.64 ,0.00 ,0.00 ,0.00 ,2.30 ,3.50 ,0.64 ,0.64 ,0.90 ,1.20 ,0.74 ,2.00 ,3.50 ,5.50 ,0.60 ,0.50 ,1.00 ,0.50 ,2.10 ,5.40 ,9.30 
Cristiano Felício,C,#N/A,28.00 ,CHI,18.00 ,0.00 ,4.70 ,0.40 ,0.70 ,0.54 ,0.00 ,0.10 ,0.00 ,0.40 ,0.60 ,0.64 ,0.54 ,0.50 ,0.90 ,0.56 ,0.60 ,0.90 ,1.40 ,0.50 ,0.20 ,0.00 ,0.20 ,0.60 ,1.30 ,2.10 
Terrance Ferguson,SG,#N/A,22.00 ,PHI,13.00 ,0.00 ,3.80 ,0.10 ,0.50 ,0.14 ,0.00 ,0.40 ,0.00 ,0.10 ,0.20 ,0.50 ,0.14 ,0.00 ,0.00 ,,0.00 ,0.10 ,0.10 ,0.20 ,0.10 ,0.00 ,0.30 ,0.50 ,0.20 ,-0.30 
Bruno Fernando,C,1782621.00 ,22.00 ,ATL,33.00 ,0.00 ,6.80 ,0.50 ,1.30 ,0.41 ,0.00 ,0.10 ,0.00 ,0.50 ,1.30 ,0.43 ,0.41 ,0.50 ,0.70 ,0.68 ,0.50 ,1.90 ,2.40 ,0.30 ,0.10 ,0.10 ,0.60 ,0.70 ,1.50 ,2.70 
Yogi Ferrell,PG,#N/A,27.00 ,TOT,10.00 ,0.00 ,13.60 ,2.00 ,5.70 ,0.35 ,0.90 ,2.80 ,0.32 ,1.10 ,2.90 ,0.38 ,0.43 ,0.70 ,0.90 ,0.78 ,0.50 ,1.40 ,1.90 ,2.20 ,0.70 ,0.30 ,0.30 ,1.10 ,5.60 ,5.70 
Yogi Ferrell,PG,#N/A,27.00 ,CLE,2.00 ,0.00 ,20.00 ,4.00 ,10.50 ,0.38 ,1.50 ,4.50 ,0.33 ,2.50 ,6.00 ,0.42 ,0.45 ,0.00 ,1.00 ,0.00 ,1.50 ,2.00 ,3.50 ,2.50 ,1.50 ,0.50 ,1.50 ,2.00 ,9.50 ,8.00 
Yogi Ferrell,PG,#N/A,27.00 ,LAC,8.00 ,0.00 ,12.00 ,1.50 ,4.50 ,0.33 ,0.80 ,2.40 ,0.32 ,0.80 ,2.10 ,0.35 ,0.42 ,0.90 ,0.90 ,1.00 ,0.30 ,1.30 ,1.50 ,2.10 ,0.50 ,0.30 ,0.00 ,0.90 ,4.60 ,5.10 
Dorian Finney-Smith,PF,4000000.00 ,27.00 ,DAL,60.00 ,60.00 ,32.00 ,3.70 ,7.80 ,0.47 ,2.00 ,5.00 ,0.39 ,1.70 ,2.70 ,0.62 ,0.60 ,0.50 ,0.70 ,0.76 ,1.60 ,3.80 ,5.40 ,1.70 ,0.90 ,0.40 ,0.80 ,2.30 ,9.80 ,11.60 
Malik Fitts,PF,231062.00 ,23.00 ,LAC,3.00 ,0.00 ,3.70 ,0.30 ,1.00 ,0.33 ,0.30 ,0.70 ,0.50 ,0.00 ,0.30 ,0.00 ,0.50 ,0.00 ,0.00 ,,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.30 
Malachi Flynn,PG,2048040.00 ,22.00 ,TOR,47.00 ,14.00 ,19.70 ,2.70 ,7.20 ,0.37 ,1.10 ,3.60 ,0.32 ,1.60 ,3.70 ,0.42 ,0.45 ,1.00 ,1.20 ,0.80 ,0.20 ,2.30 ,2.50 ,2.90 ,0.80 ,0.10 ,0.90 ,1.40 ,7.50 ,7.70 
Bryn Forbes,SG,#N/A,27.00 ,MIL,70.00 ,10.00 ,19.30 ,3.60 ,7.60 ,0.47 ,2.20 ,4.90 ,0.45 ,1.40 ,2.70 ,0.51 ,0.62 ,0.70 ,0.90 ,0.77 ,0.20 ,1.40 ,1.60 ,0.60 ,0.30 ,0.00 ,0.60 ,1.10 ,10.00 ,7.20 
Trent Forrest,PG,8558.00 ,22.00 ,UTA,30.00 ,0.00 ,10.10 ,1.10 ,2.40 ,0.45 ,0.20 ,0.90 ,0.19 ,0.90 ,1.50 ,0.60 ,0.49 ,0.60 ,0.60 ,1.00 ,0.40 ,1.10 ,1.50 ,1.50 ,0.30 ,0.10 ,0.70 ,0.70 ,2.90 ,4.30 
Evan Fournier,SF-SG,18139535.00 ,28.00 ,TOT,42.00 ,36.00 ,30.00 ,5.90 ,12.90 ,0.46 ,2.80 ,6.70 ,0.41 ,3.10 ,6.10 ,0.50 ,0.57 ,2.60 ,3.30 ,0.79 ,0.20 ,2.80 ,3.00 ,3.40 ,1.10 ,0.50 ,1.70 ,2.30 ,17.10 ,15.10 
Evan Fournier,SF,18139535.00 ,28.00 ,ORL,26.00 ,26.00 ,30.30 ,6.50 ,14.20 ,0.46 ,2.80 ,7.20 ,0.39 ,3.70 ,7.00 ,0.54 ,0.56 ,3.80 ,4.70 ,0.80 ,0.20 ,2.70 ,2.90 ,3.70 ,1.00 ,0.30 ,2.10 ,2.10 ,19.70 ,16.90 
Evan Fournier,SG,18139535.00 ,28.00 ,BOS,16.00 ,10.00 ,29.50 ,4.80 ,10.80 ,0.45 ,2.80 ,5.90 ,0.46 ,2.10 ,4.80 ,0.43 ,0.58 ,0.60 ,0.90 ,0.71 ,0.30 ,3.00 ,3.30 ,3.10 ,1.30 ,0.60 ,1.20 ,2.60 ,13.00 ,12.40 
De'Aaron Fox,PG,28103550.00 ,23.00 ,SAC,58.00 ,58.00 ,35.10 ,9.10 ,19.10 ,0.48 ,1.80 ,5.50 ,0.32 ,7.30 ,13.60 ,0.54 ,0.52 ,5.20 ,7.20 ,0.72 ,0.60 ,2.90 ,3.50 ,7.20 ,1.50 ,0.50 ,3.00 ,2.90 ,25.20 ,23.00 
Robert Franks,PF,#N/A,24.00 ,ORL,7.00 ,0.00 ,14.40 ,1.90 ,4.00 ,0.46 ,0.70 ,2.10 ,0.33 ,1.10 ,1.90 ,0.62 ,0.55 ,1.70 ,1.90 ,0.92 ,0.90 ,1.10 ,2.00 ,0.70 ,0.40 ,0.40 ,0.30 ,1.10 ,6.10 ,6.20 
Tim Frazier,PG,#N/A,30.00 ,MEM,5.00 ,0.00 ,12.40 ,0.60 ,4.00 ,0.15 ,0.00 ,1.60 ,0.00 ,0.60 ,2.40 ,0.25 ,0.15 ,0.40 ,1.20 ,0.33 ,0.00 ,1.60 ,1.60 ,3.20 ,0.40 ,0.20 ,0.80 ,1.40 ,1.60 ,1.40 
Enes Freedom,C,2641691.00 ,28.00 ,POR,72.00 ,35.00 ,24.40 ,4.70 ,7.80 ,0.60 ,0.00 ,0.10 ,0.25 ,4.70 ,7.70 ,0.61 ,0.61 ,1.80 ,2.30 ,0.77 ,3.90 ,7.10 ,11.00 ,1.20 ,0.50 ,0.70 ,1.10 ,2.30 ,11.20 ,18.70 
Markelle Fultz,PG,16500000.00 ,22.00 ,ORL,8.00 ,8.00 ,26.90 ,5.10 ,13.00 ,0.39 ,0.50 ,2.00 ,0.25 ,4.60 ,11.00 ,0.42 ,0.41 ,2.10 ,2.40 ,0.90 ,0.60 ,2.50 ,3.10 ,5.40 ,1.00 ,0.30 ,2.30 ,2.30 ,12.90 ,12.20 
Wenyen Gabriel,PF,29814.00 ,23.00 ,NOP,21.00 ,0.00 ,11.50 ,1.10 ,2.90 ,0.40 ,0.60 ,1.50 ,0.41 ,0.50 ,1.30 ,0.39 ,0.51 ,0.50 ,0.80 ,0.65 ,1.00 ,1.60 ,2.60 ,0.50 ,0.40 ,0.40 ,0.70 ,1.50 ,3.40 ,3.70 
Daniel Gafford,PF-C,1782621.00 ,22.00 ,TOT,54.00 ,11.00 ,14.60 ,2.90 ,4.20 ,0.68 ,0.00 ,0.00 ,,2.90 ,4.20 ,0.68 ,0.68 ,1.30 ,2.00 ,0.67 ,1.70 ,2.50 ,4.30 ,0.50 ,0.50 ,1.40 ,0.80 ,1.80 ,7.00 ,9.90 
Daniel Gafford,PF,1782621.00 ,22.00 ,CHI,31.00 ,11.00 ,12.40 ,1.90 ,2.80 ,0.69 ,0.00 ,0.00 ,,1.90 ,2.80 ,0.69 ,0.69 ,0.90 ,1.30 ,0.66 ,1.40 ,1.90 ,3.30 ,0.50 ,0.40 ,1.10 ,0.70 ,1.70 ,4.70 ,7.00 
Daniel Gafford,C,1782621.00 ,22.00 ,WAS,23.00 ,0.00 ,17.70 ,4.10 ,6.00 ,0.68 ,0.00 ,0.00 ,,4.10 ,6.00 ,0.68 ,0.68 ,2.00 ,2.90 ,0.67 ,2.20 ,3.40 ,5.60 ,0.50 ,0.70 ,1.80 ,0.80 ,1.90 ,10.10 ,14.00 
Danilo Gallinari,PF,20475000.00 ,32.00 ,ATL,51.00 ,4.00 ,24.00 ,4.00 ,9.30 ,0.43 ,2.00 ,5.00 ,0.41 ,2.00 ,4.30 ,0.47 ,0.54 ,3.20 ,3.40 ,0.93 ,0.30 ,3.80 ,4.10 ,1.50 ,0.60 ,0.20 ,0.80 ,2.10 ,13.30 ,12.10 
Langston Galloway,SG,#N/A,29.00 ,PHO,40.00 ,0.00 ,11.00 ,1.70 ,3.70 ,0.45 ,0.90 ,2.10 ,0.42 ,0.80 ,1.60 ,0.48 ,0.57 ,0.60 ,0.60 ,0.96 ,0.20 ,0.90 ,1.10 ,0.70 ,0.20 ,0.00 ,0.30 ,0.60 ,4.80 ,4.20 
Darius Garland,PG,7040880.00 ,21.00 ,CLE,54.00 ,50.00 ,33.10 ,6.70 ,14.90 ,0.45 ,1.90 ,4.90 ,0.40 ,4.80 ,9.90 ,0.48 ,0.52 ,2.10 ,2.40 ,0.85 ,0.40 ,2.00 ,2.40 ,6.10 ,1.20 ,0.10 ,3.00 ,2.00 ,17.40 ,16.70 
Marc Gasol,C,#N/A,36.00 ,LAL,52.00 ,42.00 ,19.10 ,1.70 ,3.70 ,0.45 ,1.00 ,2.30 ,0.41 ,0.70 ,1.40 ,0.53 ,0.58 ,0.70 ,1.00 ,0.72 ,0.70 ,3.40 ,4.10 ,2.10 ,0.50 ,1.10 ,1.00 ,2.20 ,5.00 ,8.30 
Rudy Gay,PF,5890000.00 ,34.00 ,SAS,63.00 ,1.00 ,21.60 ,4.20 ,10.00 ,0.42 ,1.70 ,4.40 ,0.38 ,2.50 ,5.60 ,0.45 ,0.51 ,1.30 ,1.60 ,0.80 ,0.70 ,4.10 ,4.80 ,1.40 ,0.70 ,0.60 ,1.00 ,1.80 ,11.40 ,11.00 
Paul George,SF,39344970.00 ,30.00 ,LAC,54.00 ,54.00 ,33.70 ,8.20 ,17.60 ,0.47 ,3.20 ,7.70 ,0.41 ,5.10 ,9.90 ,0.51 ,0.56 ,3.70 ,4.20 ,0.87 ,0.80 ,5.80 ,6.60 ,5.20 ,1.10 ,0.40 ,3.30 ,2.40 ,23.30 ,24.30 
Taj Gibson,C,4910000.00 ,35.00 ,NYK,45.00 ,3.00 ,20.80 ,2.20 ,3.50 ,0.63 ,0.10 ,0.30 ,0.20 ,2.10 ,3.20 ,0.67 ,0.64 ,0.90 ,1.20 ,0.73 ,2.20 ,3.40 ,5.60 ,0.80 ,0.70 ,1.10 ,0.50 ,2.20 ,5.40 ,9.80 
Harry Giles,C,#N/A,22.00 ,POR,38.00 ,0.00 ,9.20 ,1.10 ,2.60 ,0.43 ,0.20 ,0.60 ,0.35 ,0.90 ,1.90 ,0.46 ,0.47 ,0.40 ,0.70 ,0.59 ,0.80 ,2.70 ,3.50 ,0.80 ,0.20 ,0.30 ,0.50 ,1.40 ,2.80 ,4.40 
Shai Gilgeous-Alexander,SG,5495532.00 ,22.00 ,OKC,35.00 ,35.00 ,33.70 ,8.20 ,16.10 ,0.51 ,2.00 ,4.90 ,0.42 ,6.20 ,11.30 ,0.55 ,0.57 ,5.30 ,6.50 ,0.81 ,0.50 ,4.20 ,4.70 ,5.90 ,0.80 ,0.70 ,3.00 ,2.00 ,23.70 ,24.70 
Anthony Gill,PF,1517981.00 ,28.00 ,WAS,26.00 ,4.00 ,8.40 ,1.20 ,2.30 ,0.50 ,0.30 ,0.90 ,0.29 ,0.90 ,1.40 ,0.64 ,0.56 ,0.50 ,0.60 ,0.81 ,0.60 ,1.30 ,2.00 ,0.40 ,0.40 ,0.20 ,0.30 ,1.00 ,3.10 ,3.90 
Freddie Gillespie,PF,#N/A,23.00 ,TOR,20.00 ,2.00 ,19.60 ,2.20 ,4.20 ,0.52 ,0.00 ,0.00 ,,2.20 ,4.20 ,0.52 ,0.52 ,1.20 ,1.70 ,0.70 ,2.10 ,2.80 ,4.90 ,0.50 ,0.70 ,1.00 ,0.60 ,2.20 ,5.60 ,8.00 
Rudy Gobert,C,35344828.00 ,28.00 ,UTA,71.00 ,71.00 ,30.80 ,5.50 ,8.20 ,0.68 ,0.00 ,0.10 ,0.00 ,5.50 ,8.10 ,0.68 ,0.68 ,3.30 ,5.30 ,0.62 ,3.40 ,10.10 ,13.50 ,1.30 ,0.60 ,2.70 ,1.70 ,2.30 ,14.30 ,25.40 
Brandon Goodwin,PG,0.00 ,25.00 ,ATL,47.00 ,5.00 ,13.20 ,1.80 ,4.70 ,0.38 ,0.70 ,2.20 ,0.31 ,1.10 ,2.60 ,0.43 ,0.45 ,0.60 ,0.90 ,0.65 ,0.20 ,1.30 ,1.50 ,2.00 ,0.40 ,0.00 ,0.80 ,0.90 ,4.90 ,4.70 
Aaron Gordon,PF,16409091.00 ,25.00 ,TOT,50.00 ,50.00 ,27.70 ,4.60 ,10.00 ,0.46 ,1.20 ,3.50 ,0.34 ,3.40 ,6.50 ,0.53 ,0.52 ,1.90 ,3.00 ,0.65 ,1.50 ,4.10 ,5.70 ,3.20 ,0.70 ,0.70 ,1.90 ,1.80 ,12.40 ,14.40 
Aaron Gordon,PF,16409091.00 ,25.00 ,ORL,25.00 ,25.00 ,29.40 ,5.10 ,11.70 ,0.44 ,1.70 ,4.50 ,0.38 ,3.40 ,7.20 ,0.48 ,0.51 ,2.60 ,4.20 ,0.63 ,1.60 ,5.10 ,6.60 ,4.20 ,0.60 ,0.80 ,2.70 ,2.00 ,14.60 ,16.60 
Aaron Gordon,PF,16409091.00 ,25.00 ,DEN,25.00 ,25.00 ,25.90 ,4.10 ,8.20 ,0.50 ,0.70 ,2.60 ,0.27 ,3.40 ,5.70 ,0.61 ,0.54 ,1.20 ,1.80 ,0.71 ,1.50 ,3.20 ,4.70 ,2.20 ,0.70 ,0.60 ,1.20 ,1.60 ,10.20 ,12.10 
Eric Gordon,SG,18218818.00 ,32.00 ,HOU,27.00 ,13.00 ,29.20 ,5.90 ,13.60 ,0.43 ,2.60 ,7.80 ,0.33 ,3.30 ,5.80 ,0.57 ,0.53 ,3.50 ,4.20 ,0.83 ,0.30 ,1.90 ,2.10 ,2.60 ,0.50 ,0.50 ,1.90 ,1.60 ,17.80 ,13.50 
Devonte' Graham,PG,11000000.00 ,25.00 ,CHO,55.00 ,44.00 ,30.20 ,4.60 ,12.20 ,0.38 ,3.30 ,8.70 ,0.38 ,1.30 ,3.50 ,0.38 ,0.51 ,2.40 ,2.90 ,0.84 ,0.40 ,2.30 ,2.70 ,5.40 ,0.90 ,0.10 ,1.50 ,1.40 ,14.80 ,14.40 
Jerami Grant,SF,20000000.00 ,26.00 ,DET,54.00 ,54.00 ,33.90 ,7.40 ,17.30 ,0.43 ,2.10 ,6.10 ,0.35 ,5.30 ,11.20 ,0.47 ,0.49 ,5.40 ,6.40 ,0.85 ,0.60 ,4.00 ,4.60 ,2.80 ,0.60 ,1.10 ,2.00 ,2.30 ,22.30 ,18.20 
Danny Green,SF,10000000.00 ,33.00 ,PHI,69.00 ,69.00 ,28.00 ,3.20 ,7.90 ,0.41 ,2.50 ,6.30 ,0.41 ,0.70 ,1.60 ,0.44 ,0.57 ,0.40 ,0.60 ,0.78 ,0.80 ,3.00 ,3.80 ,1.70 ,1.30 ,0.80 ,1.00 ,1.80 ,9.50 ,10.40 
Draymond Green,PF,24026712.00 ,30.00 ,GSW,63.00 ,63.00 ,31.50 ,2.70 ,6.00 ,0.45 ,0.50 ,2.00 ,0.27 ,2.20 ,4.00 ,0.54 ,0.49 ,1.10 ,1.40 ,0.80 ,0.90 ,6.30 ,7.10 ,8.90 ,1.70 ,0.80 ,3.00 ,3.10 ,7.00 ,18.80 
JaMychal Green,PF,8200000.00 ,30.00 ,DEN,58.00 ,5.00 ,19.30 ,3.00 ,6.40 ,0.46 ,1.40 ,3.40 ,0.40 ,1.60 ,3.00 ,0.53 ,0.57 ,0.80 ,1.00 ,0.81 ,1.50 ,3.30 ,4.80 ,0.90 ,0.40 ,0.40 ,0.90 ,2.50 ,8.10 ,8.50 
